technology,value
SolarPV,0
CoalMine,1
GasExtractor,1
CoalPowerPlant,1
GasPowerPlant,1
CoalCHPPlant,1
GasCHPPlant,1
Power2Gas,1
H2Car,1
BEV,1
LPGCar,1
WindOnshore,0
